fips,Properties in SFHA,"Properties in FSF 100 Year Zone, 2023",100yrpropriskpct_pctchange,100yrpropriskpct_sfha,100yrpropriskpct_fsf,NAME,GEOID
42003101100,0,375,inf,0.0,0.2545824847250509,1011,42003101100
42003101400,0,102,inf,0.0,0.06593406593406594,1014,42003101400
42003101800,0,86,inf,0.0,0.05613577023498695,1018,42003101800
42003101900,0,129,inf,0.0,0.07992565055762081,1019,42003101900
42003110200,0,139,inf,0.0,0.11819727891156463,1102,42003110200
42003110600,0,0,,0.0,0.0,1106,42003110600
42003111300,0,50,inf,0.0,0.06605019815059446,1113,42003111300
42003111400,0,0,,0.0,0.0,1114,42003111400
42003111500,0,165,inf,0.0,0.22916666666666666,1115,42003111500
42003120300,0,23,inf,0.0,0.019965277777777776,1203,42003120300
42003120900,0,153,inf,0.0,0.09005297233666863,1209,42003120900
42003130200,0,33,inf,0.0,0.03466386554621849,1302,42003130200
42003130600,0,335,inf,0.0,0.2073019801980198,1306,42003130600
42003130700,0,393,inf,0.0,0.1751336898395722,1307,42003130700
42003130800,0,612,inf,0.0,0.3264,1308,42003130800
42003140100,0,249,inf,0.0,0.22865013774104684,1401,42003140100
42003140200,0,24,inf,0.0,0.0410958904109589,1402,42003140200
42003140300,0,51,inf,0.0,0.04461942257217848,1403,42003140300
42003140400,0,139,inf,0.0,0.1475583864118896,1404,42003140400
42003140500,0,73,inf,0.0,0.10310734463276836,1405,42003140500
42003140800,0,90,inf,0.0,0.06423982869379015,1408,42003140800
42003141100,5,71,13.200000000000001,0.006561679790026247,0.09317585301837271,1411,42003141100
42003141200,0,106,inf,0.0,0.06654111738857502,1412,42003141200
42003141300,0,99,inf,0.0,0.07505686125852919,1413,42003141300
42003141400,2,187,92.5,0.0010204081632653062,0.09540816326530613,1414,42003141400
42003151600,0,296,inf,0.0,0.2144927536231884,1516,42003151600
42003151700,0,183,inf,0.0,0.08310626702997276,1517,42003151700
42003160800,0,225,inf,0.0,0.13051044083526683,1608,42003160800
42003160900,0,712,inf,0.0,0.6003372681281619,1609,42003160900
42003161000,0,145,inf,0.0,0.0932475884244373,1610,42003161000
42003170200,0,1048,inf,0.0,0.47143499775078723,1702,42003170200
42003170600,0,109,inf,0.0,0.07864357864357864,1706,42003170600
42003180300,0,31,inf,0.0,0.019987105093488073,1803,42003180300
42003180700,0,87,inf,0.0,0.08978328173374613,1807,42003180700
42003190300,0,67,inf,0.0,0.06950207468879668,1903,42003190300
42003191100,1,126,125.0,0.0005356186395286556,0.06748794858061061,1911,42003191100
42003191400,0,62,inf,0.0,0.042119565217391304,1914,42003191400
