fips,City FIPS,City Name,State,Total Properties,Depth_1in100_NOAA,Depth_1in100_FSF2023,Depth_1in100_FSF2053,RP_1in10_FSF2023,RP_1in20_FSF2023,RP_1in50_FSF2023,RP_1in100_FSF2023,RP_1in10_FSF2053,RP_1in20_FSF2053,RP_1in50_FSF2053,RP_1in100_FSF2053,Properties in SFHA,"Properties in FSF 100 Year Zone, 2023","Properties in FSF 100 Year Zone, 2053",Properties in FSF 100 Year Zone but Not in FEMA SFHA,"Properties in FSF 100 Year Zone but Not in FEMA SFHA, Primary Flood Source is Pluvial",Properties in FEMA SFHA but not FSF 100 Year Zone
4279016,4279016,Upper Exeter,pa,380,57.3,92.1,94.5,3.8,7.7,10,16.8,3.7,6.7,9,15.7,43,152,154,111,36,2
4279424,4279424,Ursina,pa,194,63,89.7,91.9,3.3,8,12.3,21.7,3,7,10.3,19.7,29,121,121,92,10,0
4279472,4279472,Utica,pa,158,66,86.8,90.1,6,13,18,32,5,11,16,27,59,89,90,30,11,0
4279496,4279496,Vail,pa,63,67,92.9,95.5,4,9,14,26,4,8,12,23,2,28,28,26,15,0
4279504,4279504,Valencia,pa,121,65,86.7,89.6,5,11,17,30,5,10,15,26,2,12,12,10,10,0
4279640,4279640,Valley Green,pa,1380,69.2,117.1,120.1,3,5,7,12.2,2,5,7,11.2,21,337,337,316,294,0
4279644,4279644,Valley-Hi,pa,48,69,102.3,105.9,3,6.5,10.5,20,2.5,6,9,17,1,7,7,7,7,1
4279680,4279680,Valley View,pa,946,64.3,123.5,126.2,2,3.6,4.7,7.7,2,3,4.6,7.2,12,39,39,27,19,0
4279682,4279682,Valley View,pa,1284,70,123.4,126.4,2,4,6,10,2,4,6,9,0,67,68,67,67,0
4279768,4279768,Vanderbilt,pa,279,64,79.1,81.1,7,15,22,40,6,13,20,36,2,50,50,48,48,0
4279776,4279776,Vandergrift,pa,2469,66,89.9,92.6,5,11,16,27.3,4,9.3,14,24.3,3,83,87,80,73,0
4279792,4279792,Vandling,pa,431,60,105.8,109.3,3,5,8,12,3,4,7,11,0,8,8,8,8,0
4279872,4279872,Van Voorhis,pa,115,64,88.9,91.3,4,10,15,25,4,9,13,22,9,22,22,13,5,0
4279912,4279912,Venango,pa,133,67,83.2,86.2,7.3,15.9,24,40.8,6.3,13.9,20.1,34.6,21,14,14,2,2,9
4280032,4280032,Verona,pa,1114,65,96.8,100,3,7,11,19,3,6,9,16,0,410,409,410,40,0
4280040,4280040,Versailles,pa,756,64,92.4,95.1,4,8.4,13,21.4,3.4,7.4,11.4,18.7,0,135,133,135,10,0
4280136,4280136,Vicksburg,pa,75,66,79.7,82.2,7,16,24,45,6,14,21,40,1,2,2,1,1,0
4280144,4280144,Vicksburg,pa,124,62,112.7,115.4,2,4,6,9,2,4,5,8,10,21,22,11,11,0
4280218,4280218,Village Green-Green Ridge,pa,2983,73.5,114.4,118.9,4.3,8.4,12.1,18,4,7.3,10.1,15.8,7,211,217,204,198,0
4280229,4280229,Village Shires,pa,1490,76,113.9,118.6,5,10,14,22,4.8,8.8,12,19,0,45,47,45,45,0
4280248,4280248,Villanova,pa,1047,73,124.9,129.8,3,6,8,13,3,5,7,11,1,89,91,88,88,0
4280264,4280264,Vinco,pa,1000,69.2,86.2,88.7,6,13.8,21.8,39.9,5.8,11.8,19.6,34.9,6,66,67,61,61,1
4280288,4280288,Vintondale,pa,364,68.3,87.3,89.8,6,13,19.3,35.7,5,11,17.3,31.7,35,174,176,139,63,0
4280336,4280336,Virginville,pa,163,70,118.5,121.9,3,6,9,14,3,5.3,8,12.3,4,18,23,14,13,0
4280368,4280368,Volant,pa,95,67,89,92.6,5,11,16,30,4,9,13,25,18,32,32,14,11,0
4280384,4280384,Vowinckel,pa,188,64,77,79.8,9,18.6,27.3,47.3,7.6,15.6,23.6,40.3,0,4,4,4,4,0
4280432,4280432,Wagner,pa,60,72,115.3,118.3,3,6,9,15,2,5,8,14,0,13,13,13,13,0
4280480,4280480,Wakefield,pa,222,72,125.7,129.1,2,4.6,6.6,11.1,2,4,5.6,9.6,1,16,16,15,15,0
4280600,4280600,Wall,pa,878,65,94.5,97.3,4,8,12,21,3,7,10,18,0,240,240,240,152,0
4280640,4280640,Wallaceton,pa,204,65,91.4,94.1,4,9,13,24,3,7,11,21,0,19,19,19,19,0
4280652,4280652,Wallenpaupack Lake Estates,pa,2171,63.9,106.2,109.6,2.8,5.7,8.6,15.4,2.4,5.2,7.7,13.4,12,125,128,124,124,11
4280656,4280656,Waller,pa,43,59,108.4,110.9,2,4,6,9,2,4,5,8,0,7,7,7,7,0
4280800,4280800,Walnutport,pa,928,73.3,121.6,125.6,3,6,8.3,15.3,2,5,8,13.3,14,152,181,138,44,0
4280808,4280808,Walnuttown,pa,192,69,117.5,120.9,4,7,9,14,3,6,8,12,3,21,24,18,18,0
4280880,4280880,Wampum,pa,451,65,91.7,95.5,4,8,13,23,3,7,11,19,29,185,184,156,23,0
